"outcome","model","term","est","se","t","p"
"national_superiority","M3","dr_cwc:z_content",0.0347,0.0209,1.659,0.0972
"national_superiority","M3","dr_cwc:z_liberal",-0.0299,0.0209,-1.43,0.153
"national_pride_non_democracy","M1","(Intercept)",0.5938,0.009,66.243,0
"national_pride_non_democracy","M1","dr_cwc",0.0532,0.019,2.795,0.00518
"national_pride_non_democracy","M1","dr_cm_c",-0.4186,0.1889,-2.216,0.0267
"national_pride_non_democracy","M1","age_z",0.0145,0.001,14.188,1.09e-45
"national_pride_non_democracy","M1","female",0.0099,0.0019,5.127,2.95e-07
"national_pride_non_democracy","M1","edu_z",-0.0043,0.0011,-4.007,6.14e-05
"national_pride_non_democracy","M1","lr",0.084,0.0041,20.463,4.6e-93
"national_pride_non_democracy","M2","(Intercept)",0.5939,0.0087,68.281,0
"national_pride_non_democracy","M2","dr_cwc",0.0529,0.0181,2.918,0.00352
"national_pride_non_democracy","M2","dr_cm_c",-0.4158,0.1849,-2.249,0.0245
"national_pride_non_democracy","M2","age_z",0.0145,0.001,14.205,8.57e-46
"national_pride_non_democracy","M2","female",0.0099,0.0019,5.13,2.89e-07
"national_pride_non_democracy","M2","edu_z",-0.0042,0.0011,-3.972,7.13e-05
"national_pride_non_democracy","M2","lr",0.0837,0.0041,20.382,2.44e-92
"national_pride_non_democracy","M2","z_content",0.0119,0.0085,1.396,0.163
"national_pride_non_democracy","M2","dr_cwc:z_content",0.0317,0.0183,1.734,0.0828
"national_pride_non_democracy","M3","(Intercept)",0.5939,0.0075,79.186,0
"national_pride_non_democracy","M3","dr_cwc",0.053,0.0181,2.926,0.00344
"national_pride_non_democracy","M3","dr_cm_c",-0.4481,0.1576,-2.843,0.00447
"national_pride_non_democracy","M3","age_z",0.0145,0.001,14.223,6.58e-46
"national_pride_non_democracy","M3","female",0.0099,0.0019,5.137,2.8e-07
"national_pride_non_democracy","M3","edu_z",-0.0043,0.0011,-3.995,6.48e-05
"national_pride_non_democracy","M3","lr",0.0837,0.0041,20.385,2.28e-92
"national_pride_non_democracy","M3","z_content",-0.0072,0.0092,-0.782,0.434
"national_pride_non_democracy","M3","z_liberal",-0.0309,0.0092,-3.354,0.000796
"national_pride_non_democracy","M3","dr_cwc:z_content",0.027,0.0232,1.162,0.245
"national_pride_non_democracy","M3","dr_cwc:z_liberal",-0.0077,0.0232,-0.331,0.74
