country,region,region_regime,regime_binary,predictor,outcome,outcome_label,slope,se,p_value,sig,formatted_slope,model_n
Canada,West,Western democracies,Democracy,democracy_rights_liberal,ascriptive_membership,Closed/ascriptive national membership,-0.09711954290003977,0.04397657826721814,0.027327666328784847,*,-0.10*,1991
Canada,West,Western democracies,Democracy,democracy_rights_liberal,civic_membership,Civic national membership,-0.08852635819577159,0.03524894242162957,0.012102077944683902,*,-0.09*,1991
Canada,West,Western democracies,Democracy,democracy_rights_liberal,national_superiority,National superiority and unconditional support,-0.15920351186457538,0.032719709814139575,1.2305707086731383e-06,***,-0.16***,1991
Canada,West,Western democracies,Democracy,democracy_rights_liberal,nation_state_self_determination,Every nation should have its own state,0.09615832001417246,0.05142151230980043,0.061643029742095276,,0.10,1837
Canada,West,Western democracies,Democracy,democracy_rights_liberal,protective_sovereignty,Protectionist/sovereigntist nationalism,0.030472650943337953,0.0274590603081525,0.2672418382275743,,0.03,1991
Canada,West,Western democracies,Democracy,democracy_rights_liberal,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.1773468904659694,0.03718725646885571,1.985952650881982e-06,***,-0.18***,1991
Canada,West,Western democracies,Democracy,democracy_rights_liberal,national_pride_non_democracy,"National pride, excluding pride in democracy",-0.022195878848016548,0.03616103283971854,0.5394135716653883,,-0.02,1989
Canada,West,Western democracies,Democracy,democracy_rights_liberal,pride_democracy,Pride in the way democracy works,-0.13338139728974951,0.049638084499363785,0.007268620085310471,**,-0.13**,1976
Canada,West,Western democracies,Democracy,democracy_works_today,ascriptive_membership,Closed/ascriptive national membership,-0.08965464949116875,0.03350653427342243,0.007517811430244822,**,-0.09**,1991
Canada,West,Western democracies,Democracy,democracy_works_today,civic_membership,Civic national membership,0.0942000972161825,0.021357134749214423,1.0854812676450049e-05,***,0.09***,1991
Canada,West,Western democracies,Democracy,democracy_works_today,national_superiority,National superiority and unconditional support,0.21940778353356816,0.022001469590794735,6.884905510307637e-23,***,0.22***,1991
Canada,West,Western democracies,Democracy,democracy_works_today,nation_state_self_determination,Every nation should have its own state,-0.0023530737380497158,0.03150945720805226,0.9404787959569756,,-0.00,1839
Canada,West,Western democracies,Democracy,democracy_works_today,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.08466112606046128,0.017953429160997392,2.5777985157992763e-06,***,-0.08***,1991
Canada,West,Western democracies,Democracy,democracy_works_today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.27395491673568007,0.0223593414288287,2.5247878041575467e-33,***,-0.27***,1991
Canada,West,Western democracies,Democracy,democracy_works_today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.34873877239768625,0.020498111670464475,1.0730883302808892e-60,***,0.35***,1989
Canada,West,Western democracies,Democracy,democracy_works_today,pride_democracy,Pride in the way democracy works,0.735892894412931,0.028454930648137717,3.246697364362956e-127,***,0.74***,1976
Switzerland,West,Western democracies,Democracy,democracy_rights_liberal,ascriptive_membership,Closed/ascriptive national membership,-0.08839047162849845,0.024310248221935806,0.00028206157166248635,***,-0.09***,2753
Switzerland,West,Western democracies,Democracy,democracy_rights_liberal,civic_membership,Civic national membership,-0.07418181986434291,0.018295940643708996,5.162663625125883e-05,***,-0.07***,2754
Switzerland,West,Western democracies,Democracy,democracy_rights_liberal,national_superiority,National superiority and unconditional support,-0.06283375135173586,0.018699153597801787,0.0007893947203563853,***,-0.06***,2747
Switzerland,West,Western democracies,Democracy,democracy_rights_liberal,nation_state_self_determination,Every nation should have its own state,0.07697635863923935,0.027041998107473545,0.004453596798211091,**,0.08**,2656
Switzerland,West,Western democracies,Democracy,democracy_rights_liberal,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.002632431191885942,0.016699280545086355,0.8747541030264456,,-0.00,2756
Switzerland,West,Western democracies,Democracy,democracy_rights_liberal,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.13656236650354714,0.018457095120837846,1.8146896834848592e-13,***,-0.14***,2754
Switzerland,West,Western democracies,Democracy,democracy_rights_liberal,national_pride_non_democracy,"National pride, excluding pride in democracy",-0.004790297269970267,0.018441518996073523,0.7950714722982428,,-0.00,2739
Switzerland,West,Western democracies,Democracy,democracy_rights_liberal,pride_democracy,Pride in the way democracy works,-0.00472227576697648,0.02488641748355025,0.8495168864248991,,-0.00,2698
Switzerland,West,Western democracies,Democracy,democracy_works_today,ascriptive_membership,Closed/ascriptive national membership,-0.07757710813401708,0.02465244089900688,0.001668413134970786,**,-0.08**,2716
Switzerland,West,Western democracies,Democracy,democracy_works_today,civic_membership,Civic national membership,0.1881918634590356,0.021600339038327674,5.079340447007211e-18,***,0.19***,2717
Switzerland,West,Western democracies,Democracy,democracy_works_today,national_superiority,National superiority and unconditional support,0.14702366761947339,0.02010321219535484,3.4135967654241213e-13,***,0.15***,2710
Switzerland,West,Western democracies,Democracy,democracy_works_today,nation_state_self_determination,Every nation should have its own state,0.034039299722239846,0.028973098257497092,0.2401580525224687,,0.03,2624
Switzerland,West,Western democracies,Democracy,democracy_works_today,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.11512313109787975,0.01730096699331958,3.4345547931899375e-11,***,-0.12***,2719
Switzerland,West,Western democracies,Democracy,democracy_works_today,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.15895425203314062,0.01956352915959934,6.722017055664007e-16,***,-0.16***,2717
Switzerland,West,Western democracies,Democracy,democracy_works_today,national_pride_non_democracy,"National pride, excluding pride in democracy",0.25967368508482735,0.019964051419415714,1.4658502968878637e-37,***,0.26***,2705
Switzerland,West,Western democracies,Democracy,democracy_works_today,pride_democracy,Pride in the way democracy works,0.6319055591606215,0.02489621529630776,1.8990624546249054e-127,***,0.63***,2665
Germany,West,Western democracies,Democracy,democracy_rights_liberal,ascriptive_membership,Closed/ascriptive national membership,-0.10595721147462811,0.04368689491000682,0.015429616531196625,*,-0.11*,1290
Germany,West,Western democracies,Democracy,democracy_rights_liberal,civic_membership,Civic national membership,-0.024041345559169258,0.04034415981642875,0.5513434005232632,,-0.02,1282
Germany,West,Western democracies,Democracy,democracy_rights_liberal,national_superiority,National superiority and unconditional support,-0.11449282600854005,0.04308439876277069,0.007972959908014325,**,-0.11**,1279
Germany,West,Western democracies,Democracy,democracy_rights_liberal,nation_state_self_determination,Every nation should have its own state,-0.012651769905158261,0.06767557430190674,0.8517339886026166,,-0.01,1188
Germany,West,Western democracies,Democracy,democracy_rights_liberal,protective_sovereignty,Protectionist/sovereigntist nationalism,-0.07298163395585178,0.03485850096619963,0.036487180471137304,*,-0.07*,1286
Germany,West,Western democracies,Democracy,democracy_rights_liberal,anti_immigrant_exclusion,Anti-immigrant exclusion,-0.19190152768366886,0.03909387792357195,1.0344477300970648e-06,***,-0.19***,1289
Germany,West,Western democracies,Democracy,democracy_rights_liberal,national_pride_non_democracy,"National pride, excluding pride in democracy",0.029596311757771332,0.042542409167895374,0.4867512233879514,,0.03,1269
Germany,West,Western democracies,Democracy,democracy_rights_liberal,pride_democracy,Pride in the way democracy works,0.08130882935315498,0.0658279149832639,0.2170004835427901,,0.08,1245
Germany,West,Western democracies,Democracy,democracy_works_today,ascriptive_membership,Closed/ascriptive national membership,-0.09622007047790682,0.029235650801711692,0.0010252300081951152,**,-0.10**,1268
