country,cohort,n,r_dr_anti,r_dr_ascriptive
Taiwan,Democratic-socialized,425,-0.09810700688684172,-0.006716786872041318
Taiwan,Earlier cohort,1135,0.015316539235467434,0.09931613856756767
South Korea,Democratic-socialized,491,0.023932061988060402,0.14242759979838968
South Korea,Earlier cohort,739,-0.04428741685538096,0.14102338450265672
