outcome_label,within_country_weighted_corr,p_value,sig,median_country_corr,n_negative,n_positive,adjusted_wls_beta,pairwise_n
Closed/ascriptive national membership,-0.14799624255509822,3.74344608309775e-70,***,-0.16000602658776775,14,1,-0.11169762083442514,22811
Civic national membership,-0.12017229197450387,1.2567143723771856e-46,***,-0.12434565523107446,14,1,-0.06529940888168184,22766
National superiority and unconditional support,-0.13880050312752307,1.3266780802224332e-61,***,-0.13848028221203246,15,0,-0.09595552522144501,22704
Every nation should have its own state,-0.03819178203373793,1.2310717143453255e-05,***,-0.019705128810150515,11,4,0.0044858329712837985,21138
Protectionist/sovereigntist nationalism,-0.06820026672512365,4.683465252299894e-16,***,-0.08769331799879432,11,4,-0.013246912455986859,22787
Anti-immigrant exclusion,-0.22848403952038296,3.218964014075977e-167,***,-0.2505110026417798,14,1,-0.16646981647950554,22828
"National pride, excluding pride in democracy",-0.025626411479677254,0.0023954122681148194,**,-0.022129938164682974,10,5,0.005118928046361049,22631
Pride in the way democracy works,-0.04412544929112538,2.0579739980926707e-07,***,-0.028325538301489584,11,4,-0.055363721930877574,22032
