predictor,predictor_label,outcome,outcome_label,group_label,slope,se,p_value,sig,formatted_slope,p10_predictor,p90_predictor,p10_to_p90_change,change_se,change_p_value,change_sig,formatted_change,model_n,group_n
democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",protective_sovereignty,Protectionist/sovereigntist nationalism,South/Southeast Asia non-democracies,0.017174948395364154,0.011376670176834303,0.13113771675791006,,0.02,0.4444444444444444,1.0,0.00954163799742453,0.0063203723204635015,0.13113771675791008,,0.01,37155,4143
democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",protective_sovereignty,Protectionist/sovereigntist nationalism,Other democracies,-0.002419902800628204,0.014327311160531549,0.8658751245525463,,-0.00,0.4444444444444444,1.0,-0.0013443904447934469,0.007959617311406417,0.8658751245525463,,-0.00,37155,4849
democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",anti_immigrant_exclusion,Anti-immigrant exclusion,Western democracies,-0.21468860480311536,0.010376262208789856,1.4472858364629926e-94,***,-0.21***,0.5,1.0,-0.10734430240155768,0.005188131104394928,1.4472858364629926e-94,***,-0.11***,37177,19746
democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",anti_immigrant_exclusion,Anti-immigrant exclusion,Eastern Europe democracies,-0.09585651688315044,0.017337852057831532,3.2470035566975294e-08,***,-0.10***,0.5,1.0,-0.04792825844157522,0.008668926028915766,3.2470035566975294e-08,***,-0.05***,37177,3886
democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",anti_immigrant_exclusion,Anti-immigrant exclusion,Eastern Europe non-democracies,0.061443555497341595,0.03098536411249247,0.04737630372773402,*,0.06*,0.5,1.0,0.030721777748670798,0.015492682056246236,0.04737630372773402,*,0.03*,37177,2004
democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",anti_immigrant_exclusion,Anti-immigrant exclusion,East Asian democracies,-0.043730673813395016,0.020188073874374542,0.03030501678879175,*,-0.04*,0.611111111111111,1.0,-0.01700637314965362,0.007850917617812323,0.030305016788791706,*,-0.02*,37177,2563
democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",anti_immigrant_exclusion,Anti-immigrant exclusion,South/Southeast Asia non-democracies,-0.02180455384595159,0.012256096968251523,0.07523513362280465,,-0.02,0.4444444444444444,1.0,-0.012113641025528662,0.006808942760139735,0.07523513362280465,,-0.01,37177,4133
democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",anti_immigrant_exclusion,Anti-immigrant exclusion,Other democracies,-0.06038464120047926,0.01824145360323561,0.0009328556180232718,***,-0.06***,0.4444444444444444,1.0,-0.03354702288915515,0.01013414089068645,0.0009328556180232695,***,-0.03***,37177,4845
democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",national_pride_non_democracy,"National pride, excluding pride in democracy",Western democracies,0.007678420682717735,0.010535634143713186,0.466125690859247,,0.01,0.5,1.0,0.0038392103413588674,0.005267817071856593,0.466125690859247,,0.00,37039,19621
democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",national_pride_non_democracy,"National pride, excluding pride in democracy",Eastern Europe democracies,0.11337321683844281,0.01746742470206305,8.660249486150691e-11,***,0.11***,0.5,1.0,0.05668660841922141,0.008733712351031524,8.660249486150691e-11,***,0.06***,37039,3874
democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",national_pride_non_democracy,"National pride, excluding pride in democracy",Eastern Europe non-democracies,0.10268379812605166,0.030217655911192416,0.0006791738585165836,***,0.10***,0.5,1.0,0.05134189906302583,0.015108827955596208,0.0006791738585165836,***,0.05***,37039,1997
democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",national_pride_non_democracy,"National pride, excluding pride in democracy",East Asian democracies,0.10051383212086684,0.028855218733724687,0.000495688014446329,***,0.10***,0.611111111111111,1.0,0.03908871249144822,0.011221473952004046,0.000495688014446329,***,0.04***,37039,2561
