group,group_label,predictor,predictor_label,outcome,outcome_label,within_country_weighted_corr,p_value,sig,formatted_corr,n_eff,pairwise_n,median_country_corr,mean_country_corr,n_negative,n_positive,n_countries,adjusted_wls_beta,adjusted_model_n
east_europe_non_democracies,Eastern Europe non-democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",national_superiority,National superiority and unconditional support,0.0387515496037175,0.12478492199599041,,0.04,1570.368959231338,2546,0.04243586180942406,0.04243586180942406,0,2,2,0.0628515131420837,2002
east_europe_non_democracies,Eastern Europe non-democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",anti_immigrant_exclusion,Anti-immigrant exclusion,0.033497049350557785,0.18375234074685218,,0.03,1576.4194892128369,2556,0.06413184205379491,0.06413184205379491,1,1,2,0.062445553071245996,2004
east_europe_non_democracies,Eastern Europe non-democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",national_pride_non_democracy,"National pride, excluding pride in democracy",0.08685169642358467,0.0005751694722474136,***,0.09***,1568.1315467689535,2541,0.09175729992223168,0.09175729992223168,0,2,2,0.10904996043324644,1997
east_asia_democracies,East Asian democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",ascriptive_membership,Closed/ascriptive national membership,0.09235515212899113,9.56415750234994e-06,***,0.09***,2290.1974777838727,2791,0.10109668025711858,0.10109668025711858,0,2,2,0.11659530519535011,2563
east_asia_democracies,East Asian democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",national_superiority,National superiority and unconditional support,0.07115583013222139,0.0006585198939521968,***,0.07***,2288.3127177461724,2789,0.07721700783138691,0.07721700783138691,0,2,2,0.08201101888417384,2562
east_asia_democracies,East Asian democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",anti_immigrant_exclusion,Anti-immigrant exclusion,-0.018524570190442964,0.37565064855335967,,-0.02,2289.343084859055,2790,-0.01723071374953107,-0.01723071374953107,2,0,2,-0.03264958685991104,2563
east_asia_democracies,East Asian democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",national_pride_non_democracy,"National pride, excluding pride in democracy",0.09114995707007842,1.2745673434687229e-05,***,0.09***,2285.6315543891596,2786,0.08966110231634475,0.08966110231634475,0,2,2,0.10233013555877335,2561
south_se_asia_non_democracies,South/Southeast Asia non-democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",ascriptive_membership,Closed/ascriptive national membership,0.06665526631938982,2.570257810250425e-05,***,0.07***,3980.1580515104515,4850,0.07716715935130795,0.06816362547095862,1,2,3,0.06548012905641798,4148
south_se_asia_non_democracies,South/Southeast Asia non-democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",national_superiority,National superiority and unconditional support,0.05868789651114684,0.00022636411155106277,***,0.06***,3943.8544812116425,4812,0.06123053184029355,0.055897734657869645,1,2,3,0.07001628548623628,4120
south_se_asia_non_democracies,South/Southeast Asia non-democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",anti_immigrant_exclusion,Anti-immigrant exclusion,0.03229333519947772,0.04220638250303177,*,0.03*,3957.736923614215,4827,0.026477147853584647,0.02524061688318387,1,2,3,0.005608031603371089,4133
south_se_asia_non_democracies,South/Southeast Asia non-democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",national_pride_non_democracy,"National pride, excluding pride in democracy",0.1653628574074142,1.0550963259065192e-25,***,0.17***,3964.650699572921,4833,0.08079324375174363,0.153617341025188,0,3,3,0.1557641425375369,4139
other_democracies,Other democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",ascriptive_membership,Closed/ascriptive national membership,0.052303289991767095,0.005038471379404196,**,0.05**,2873.7955465737355,5300,0.11167710898058034,0.06309506791925298,1,2,3,0.07598552615313992,4849
other_democracies,Other democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",national_superiority,National superiority and unconditional support,-0.08614739853066306,3.6717091798640844e-06,***,-0.09***,2879.245605146502,5303,-0.05355965920904425,-0.076872211783454,2,1,3,-0.06311772235704005,4850
other_democracies,Other democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",anti_immigrant_exclusion,Anti-immigrant exclusion,-0.08957016406189433,1.5385731926552915e-06,***,-0.09***,2870.1196194455415,5296,-0.104683274241966,-0.08409436014587912,2,1,3,-0.06983173558801603,4845
other_democracies,Other democracies,democracy_rights_liberal,"Democratic rights: minority, participation, civil disobedience",national_pride_non_democracy,"National pride, excluding pride in democracy",-0.009589324133746257,0.6075321990150003,,-0.01,2870.986437233016,5293,-0.00717458400943765,-0.010068731587895662,2,1,3,0.0005501536173273536,4847
