outcome_label,within_country_weighted_corr,p_value,sig,median_country_corr,n_negative,n_positive,adjusted_wls_beta,pairwise_n
Closed/ascriptive national membership,-0.04773002843150985,1.8217522074877125e-08,***,-0.07863389265616544,12,3,-0.04480650167727518,22308
Civic national membership,0.1472377472335117,4.722144935052537e-68,***,0.1321611723129312,0,15,0.10231825254312454,22263
National superiority and unconditional support,0.15659078987349803,1.397924602468301e-76,***,0.14913467305042358,0,15,0.14434316642116052,22210
Every nation should have its own state,-0.05886616363367165,2.3692222061383514e-11,***,-0.043758702853942726,13,2,-0.06893303914409188,20742
Protectionist/sovereigntist nationalism,-0.1847115293983463,1.1136462906195208e-106,***,-0.1786423031584776,15,0,-0.11858118323628464,22298
Anti-immigrant exclusion,-0.22225196335850092,5.642978209992803e-155,***,-0.23299133372968256,14,1,-0.17881422795576896,22332
"National pride, excluding pride in democracy",0.3870456166560566,0.0,***,0.3895535752019533,0,15,0.28798530390822474,22174
Pride in the way democracy works,0.6656800231327026,0.0,***,0.6623615745175968,0,15,0.7387762689664923,21738
